Trend,Autocorrelation at lag 1,Volatility,Frequency,Stationarity,Model
2.4797215909067552e-18,0.31700032947371903,0.274261069554596,D,0.006217262247695072,ARIMA
8.30528391031853e-18,0.7885741558573924,0.13882885462665684,D,0.028641482822339675,ETS
2.717881462876729e-17,0.9849353508586992,0.27776251503024196,D,0.11529274731170819,ExpSmoothing
4.52154965274295e-19,-0.00917025024957201,0.0629574011536987,D,2.3339063275126486e-29,ExpSmoothing
9.100772951672957e-17,0.883988815077428,0.29551023118218817,D,0.996975217623717,ETS
7.177665919508365e-18,0.967084826188918,0.20788157607285196,D,0.1744784283799179,ARIMA
4.5221951962063356e-23,0.8076635886099969,0.1025012554192711,D,2.9910616138740453e-07,ExpSmoothing
2.813130131752839e-17,0.9490945228892266,0.2600415561509499,D,0.5484340994855406,ETS
8.042558410116922e-17,0.9065587050498897,0.27382890530362036,D,0.3614043519773868,ETS
4.741930478908939e-19,0.37824223905873416,0.1836546159631189,D,1.3275038715226972e-06,ARIMA
8.375409191502448e-18,0.1337688985752878,0.04714684431785576,H,0.0025053459427788667,ExpSmoothing
7.251157971842619e-16,0.6566782584732229,0.208987255647599,H,0.03500321226177846,ARIMA
1.254370272234321e-18,-0.0070231221625202895,0.05632494771416898,H,0.0,ARIMA
2.580027912117966e-18,0.2669346877347481,0.14986856811632332,H,5.674967189570792e-11,ARIMA
2.580027914112012e-18,0.26693468769561896,0.14986856802074613,H,5.674967192192733e-11,ARIMA
4.68630335408713e-18,0.0735810113092087,0.11964739116806665,H,0.0,ARIMA
1.710220839526908e-17,0.5650988376497866,0.12632398493900937,H,0.0010199594632539632,ARIMA
-8.800983252246331e-17,0.1938125962945157,0.07864989570984511,H,6.881361094485508e-23,ETS
-1.6039121756310747e-18,0.8246240234355302,0.21832313799637323,MS,0.9619670163525715,ETS
3.4014873667056385e-18,0.47369379031240594,0.27550355111201735,MS,0.12179354387870917,ARIMA
3.7481445763410226e-18,0.03310202120901311,0.22667156100859806,MS,0.03722581424137234,ARIMA
1.0948926932723083e-18,-0.15294814912450208,0.22982558734360634,MS,0.07004207493607595,ARIMA
-1.2036779605568234e-17,0.6775454777907164,0.27928495736997594,MS,0.49521111264671114,ETS
-2.059678276986135e-17,0.7190182839993341,0.3093126342629124,MS,0.9773667740465303,ExpSmoothing
1.6637704240305808e-18,0.21802332502961272,0.22589404317305925,MS,0.09325974388796121,ETS
1.4831077092764917e-19,0.4088524590163934,0.31240998703626616,MS,0.017124584839420004,ARIMA
-1.596332102829197e-19,0.9371024294217805,0.18394109349649412,MS,0.23706276633816709,ETS
7.933841202705418e-18,0.7259168747753567,0.22832175109915592,W-MON,0.0015945848109818611,ExpSmoothing
3.655016364381117e-17,0.0067852082242887135,0.2862083685443771,W-MON,0.10368731163966394,ExpSmoothing
3.836101921453242e-17,0.18801920432506752,0.26503540630420896,W-MON,0.012836542824833982,ARIMA
4.5981284119997366e-18,0.9336968098617532,0.22134115381299116,W-MON,0.3052435253849425,ARIMA
1.1712734629060405e-17,0.4562766742287845,0.23354588076984034,W-MON,0.9365401998270888,ExpSmoothing
-9.09461593190136e-18,0.7384595411234646,0.19554620280761323,W-MON,0.43257811476246333,ETS
7.828385673657687e-20,0.745930408512285,0.1907481668204657,W-MON,0.0009476016147275591,ARIMA
